dept_no	year	month	spend	transactions	items
9	2010	09	214.79	21.0	24.0
9	2010	10	175.22	17.0	20.0
9	2010	11	197.31	24.0	38.0
9	2010	12	423.89	25.0	40.0
9	2011	01	208.12	24.0	32.0
9	2011	02	82.06	12.0	16.0
9	2011	03	174.73	15.0	22.0
9	2011	04	200.33	16.0	20.0
9	2011	05	177.71	16.0	35.0
9	2011	06	94.02	14.0	18.0
9	2011	07	105.74	14.0	18.0
9	2011	08	188.68	25.0	32.0
9	2011	09	271.27	21.0	26.0
9	2011	10	153.68	17.0	17.0
9	2011	11	209.79	26.0	41.0
9	2011	12	194.84	22.0	30.0
9	2012	01	218.73	27.0	29.0
9	2012	02	181.24	23.0	32.0
9	2012	03	179.57	27.0	42.0
9	2012	04	129.67	22.0	33.0
9	2012	05	197.95	30.0	45.0
9	2012	06	263.49	25.0	40.0
9	2012	07	98.9	22.0	23.0
9	2012	08	275.52	24.0	29.0
9	2012	09	226.77	21.0	40.0
9	2012	10	175.97	19.0	28.0
9	2012	11	213.2	20.0	37.0
9	2012	12	380.05	28.0	55.0
9	2013	01	163.5	27.0	30.0
9	2013	02	199.26	19.0	28.0
9	2013	03	240.78	29.0	37.0
9	2013	04	229.64	25.0	31.0
9	2013	05	174.13	19.0	26.0
9	2013	06	91.5	10.0	12.0
9	2013	07	164.28	27.0	36.0
9	2013	08	78.38	12.0	14.0
9	2013	09	286.0	20.0	40.0
9	2013	10	316.2	17.0	30.0
9	2013	11	127.86	20.0	23.0
9	2013	12	283.94	26.0	42.0
9	2014	01	109.74	20.0	28.0
9	2014	02	247.31	18.0	31.0
9	2014	03	217.6	23.0	24.0
9	2014	04	169.14	20.0	31.0
9	2014	05	117.33	22.0	35.0
9	2014	06	228.98	14.0	22.0
9	2014	07	150.4	17.0	26.0
9	2014	08	92.84	17.0	26.0
9	2014	09	151.63	18.0	27.0
9	2014	10	77.22	11.0	10.0
9	2014	11	196.1	14.0	20.0
9	2014	12	116.66	12.0	19.0
9	2015	01	173.3	20.0	34.0
9	2015	02	101.87	12.0	12.0
9	2015	03	56.07	21.0	22.0
9	2015	04	94.67	9.0	11.0
9	2015	05	141.12	16.0	19.0
9	2015	06	72.03	10.0	11.0
9	2015	07	31.9	10.0	12.0
9	2015	08	162.91	14.0	19.0
9	2015	09	91.69	8.0	11.0
9	2015	10	293.85	21.0	34.0
9	2015	11	71.77	9.0	11.0
9	2015	12	105.24	14.0	16.0
9	2016	01	127.26	17.0	22.0
