student	state	district_num	formatted_dist_num	abbrev	district	candidate	party	website	twitter handle	incumbent	age	gender	marital_status	white_non_hispanic	hispanic	black	partisian_lean_pvi	opposed	pct_urban	income	region
patrick	New Jersey	2	02	NJ	NJ02	Seth Grossman 	Republican	https://grossmanforcongress.com	Grossman4NJ	No	NA	M	NA	T	F	F	R+1	Yes	79.1	44,173	NE
patrick	New Jersey	2	02	NJ	NJ02	Jeff Van Drew 	Democratic	https://www.vandrewforcongress.com	VanDrewForNJ	No	NA	M	Single	T	F	F	R+1	Yes	79.1	44,173	NE
patrick	New York	1	01	NY	NY01	Perry Gershon 	Democratic	https://www.perrygershon.com	perrygershon	No	NA	M	Married	T	F	F	R+5	Yes	93.89	61,884	NE
patrick	New York	1	01	NY	NY01	Lee Zeldin 	Republican	https://zeldinforcongress.com	leezeldin	Yes	38	M	Married	T	F	F	R+5	Yes	93.89	61,884	NE
patrick	New York	4	04	NY	NY04	Ameer Benno 	Republican	https://www.benno4congress.com	Benno4Congress	No	NA	M	Married	T	F	F	D+4	Yes	87.4	87860	NE
patrick	New York	4	04	NY	NY04	Kathleen Rice 	Democratic	https://www.kathleenrice.com	KathleenRice	Yes	53	F	Single	T	F	F	D+4	Yes	87.4	87860	NE
patrick	North Carolina	3	03	NC	NC03	Walter Jones 	Republican	http://www.walterjonescommittee.com	RepWalterJones	Yes	75	M	Married	T	F	F	R+12	No	53.13	44,871	S
patrick	North Carolina	7	07	NC	NC07	Kyle Horton 	Democratic	https://www.drkyleforcongress.com	drkyle4congress	No	NA	F	Single	T	F	F	R+9	Yes	52.92	39,710	S
patrick	North Carolina	7	07	NC	NC07	David Rouzer 	Republican	http://davidrouzer.com	RepDavidRouzer	Yes	46	M	Single	T	F	F	R+9	Yes	52.92	39,710	S
patrick	Ohio	16	16	OH	OH16	Anthony Gonzalez 	Republican	https://www.voteanthonygonzalez.com	anthonygonzalez	No	34	M	Married	F	T	F	R+8	Yes	31.4	58,526	MW
patrick	Ohio	16	16	OH	OH16	Susan Moran Palmer 	Democratic	https://www.susanpalmerforcongress.com	SusanPalmerOH	No	NA	F	Married	T	F	F	R+8	Yes	31.4	58,526	MW
patrick	Oklahoma	3	03	OK	OK03	Frank Lucas 	Republican	http://www.frankdlucas.com	RepFrankLucas	Yes	58	M	Married	T	F	F	R+27	Yes	50.71	32,098	S
patrick	Oklahoma	3	03	OK	OK03	Frankie Robbins 	Democratic	http://robbinsforoklahoma.com	RobbinsforOK	No	72	M	Single	T	F	F	R+27	Yes	50.71	32,098	S
